region,historical_hba1c_group,value,raceeth
Rural,<7,7.946210268948656,Overall
Rural,7-9,12.070282658517954,Overall
Rural,>=9,19.242424242424242,Overall
Rural,Unavailable,12.726098191214472,Overall
Urban,<7,9.829186623150935,Overall
Urban,7-9,13.150250858199103,Overall
Urban,>=9,19.065091013056325,Overall
Urban,Unavailable,14.881820834549167,Overall
Urban,<7,9.640310027891193,NH White
Urban,<7,10.901158868955148,NH Black
Urban,<7,10.252274055140358,Hispanic
Urban,<7,9.142654451917794,NH Other
Rural,<7,8.040166475058566,NH White
Rural,<7,5.609538802574659,NH Black
Rural,<7,11.115285007769996,Hispanic
Rural,<7,7.584571476751613,NH Other
Urban,7-9,12.742746498046593,NH White
Urban,7-9,14.891207896789796,NH Black
Urban,7-9,13.335455386987688,Hispanic
Urban,7-9,12.079988004035359,NH Other
Rural,7-9,12.166777495736472,NH White
Rural,7-9,12.4172527747082,NH Black
Rural,7-9,12.512852530499025,Hispanic
Rural,7-9,9.6549287922662,NH Other
Urban,>=9,17.408007939610513,NH White
Urban,>=9,21.82753039254548,NH Black
Urban,>=9,18.856234199819113,Hispanic
Urban,>=9,20.008883662049275,NH Other
Rural,>=9,19.095158820757938,NH White
Rural,>=9,21.061664807323847,NH Black
Rural,>=9,19.83952988795126,Hispanic
Rural,>=9,18.07843540504708,NH Other
Urban,Unavailable,13.298765458106562,NH White
Urban,Unavailable,17.73904584462505,NH Black
Urban,Unavailable,16.475153617339746,Hispanic
Urban,Unavailable,15.486720298548171,NH Other
Rural,Unavailable,13.247239449581617,NH White
Rural,Unavailable,8.030500380633528,NH Black
Rural,Unavailable,13.744797992702024,Hispanic
Rural,Unavailable,10.638397882150159,NH Other
